id,name,calories,protein,fat,carbs,portion_size
820,Labu Siam,26,0.6,0.1,6.7,100
821,Labu waluh segar,32,1.1,0.1,6.6,100
822,Laksa ,166.3,2.7,3.9,29.5,100
823,Lamtoro (pete cina) biji muda,85,5.7,0.3,15.4,100
824,Lamtoro biji tua,148,10.6,0.5,26.2,100
825,Lamtoro tempe,142,11,2.5,20.4,100
826,Lamtoro var. gung tanpa kulit,367,46.4,5.4,32.5,100
827,Lamtoro var. lokal dengan kulit,336,23.8,1.2,59.7,100
828,Langsat,56,0.9,0.2,14.3,100
829,Lantar segar,34,2.2,0.3,5.5,100
830,Lanting getuk,422,0.9,10.8,80.4,100
831,Lapis legit,389,6.6,15.7,55.5,100
832,Lawar babi masakan,174,17,10,3,100
833,Lawar penyu masakan,141,23,1.5,7.6,100
834,Lawara jangang masakan,159,5,10.9,10.1,100
835,Lawara penjah masakan,207,7.4,15.4,9.6,100
836,Ledre pisang,405,4.8,5.1,84.9,100
837,Lema/ Rebung asam,15,1,0.4,1.9,100
838,Lemak Babi,902,0,100,0,100
839,Lemak Babi (Bacon),630,9.1,65,1.1,100
840,Lemak ikan,372,12,29.4,14.4,100
841,Lemak Kerbau,818,1.5,90,0,100
842,Lemon segar,34,0.5,0.8,6.2,100
843,Lemon Squasih,36,0,0,10,100
844,Lemonade,30,0,0,8,100
845,Lemper ,221.3,3.8,3.6,43.4,100
846,Lempog durian,320,3.5,5.7,63.7,100
847,Lepok/Ubi rumput,181,2.8,1.2,39.8,100
848,Leunca buah,33,1.9,0.1,7.4,100
849,Leupeut Ketan ,240,7.8,0.5,51.3,100
850,Leverwost (sosis hati),387,16,22,3,100
851,Lilin bungkus gedi,79,2.3,5.2,5.8,100
852,Lobak,19,0.9,0.1,4.2,100
853,Lokan segar,217,11,1.7,5.1,100
854,Lontar segar,27,0.4,0.2,6,100
855,Lopis ,163.3,2.8,2.2,33,100
856,Lumai/Leunca segar,38,1.1,0.3,7.6,100
857,Lupis ketan,164,1.8,2.1,34.5,100
858,Madu,294,0.3,0,79.5,100
859,Maizena tepung,341,0.3,0,85,100
860,Makaroni,363,8.7,0.4,78.7,100
861,Mangga benggala segar,63,2.4,0.4,12.4,100
862,Mangga Gedong,44,0.7,0.2,11.2,100
863,Mangga Golek,63,0.5,0.2,16.7,100
864,Mangga Harum Manis,46,0.4,0.2,11.9,100
865,Mangga Indramayu,72,0.8,0.2,18.7,100
866,Mangga Kopek,56,0.4,0.2,14.6,100
867,Mangga kwini segar,86,0.7,0.5,19.8,100
868,Mangga manalagi segar,133,1,0.1,32.1,100
869,Mangga Muda,59,0.5,0.4,15.1,100
870,Mangga segar,52,0.7,0,12.3,100
871,Manggis,63,0.6,0.6,15.6,100
872,Margarin,720,0.6,81,0.4,100
873,Markisa segar,144,3.5,1.2,29.8,100
874,Markisa squash,217,2.5,1,49.6,100
875,Markisa squash BD,104,1.2,0.5,23.7,100
876,Martabak  manis,265.3,4.7,5.5,49.3,100
877,Martabak india,153,4.5,4.2,24.3,100
878,Martabak mesir,278,5.1,8.6,45,100
879,Martabak Telur ,200,8.9,5.1,29.5,100
880,Masekat,369,2.1,7,74.1,100
881,Matoa segar,90,1.2,0.1,21.1,100
882,Melase,276,0,0.1,71,100
883,Melinjo,66,5,0.7,13.3,100
884,Melon segar,37,0.6,0.4,7.8,100
885,Menjangan daging dendeng mentah,322,55.8,2,22.7,100
886,Mentega,725,0.5,81.6,1.4,100
887,Menteng,65,1.7,0.2,16.1,100
888,Merica,359,11.5,6.8,64.4,100
889,Mi basah,88,0.6,3.3,14,100
890,Mi golosor,71,0.2,0.8,15.9,100
891,Mi kering,339,10,1.7,6.3,100
892,Mie aceh rebus,113,3,3.2,18.1,100
893,Mie ayam,102,6.2,3.9,10.5,100
894,Mie bakso,114,5.3,3,16.4,100
895,Mie basah,86,0.6,3.3,14,100
896,Mie Bendo,353,0.3,0,88,100
897,Mie celon,102,3,2.1,17.8,100
898,Mie Goreng ,468,7.6,20.4,62.4,100
899,Mie kering,337,7.9,11.8,50,100
900,Mie pangsit basah,105,5.9,4.9,9.4,100
901,Mie Sagu,190,0.2,0.4,46.5,100
902,Minyak Hati Hiu (Eulamia),902,0,100,0,100
903,Minyak Ikan,902,0,100,0,100
904,Minyak Kacang Tanah,902,0,100,0,100
905,Minyak kedelai,883,0,99.9,0,100
906,Minyak Kelapa,870,1,98,0,100
907,Minyak Kelapa Sawit,902,0,100,0,100
908,Minyak Wijen,902,0,100,0,100
909,Minyak Zaitun,884,0,100,0,100
910,Misoa,345,8.5,2.2,78,100
911,Misro ,218,0.8,16,50.2,100
912,Moon tahu,128,8,10,1.3,100
913,Mostarda metan -sawi,33,2.3,0.5,4.7,100
914,Mujahir acar kuning masakan,330,17.8,23.4,12.1,100
915,Naan maran sapi masakan,478,38.3,33.9,5.1,100
916,Nanas,52,0.4,0.2,13.7,100
917,Nanas palembang segar,58,0.7,0.2,13.3,100
918,Nangka biji,165,4.2,0.1,36.7,100
919,Nangka masak di pohon,106,1.2,0.3,27.6,100
920,Nangka Muda,51,2,0.4,11.3,100
921,Nasi,180,3,0.3,39.8,100
922,Nasi beras merah,149,2.8,0.4,32.5,100
923,Nasi gemuk,192,3.8,8.8,24.4,100
924,Nasi Goreng ,276,3.2,3.2,30.2,100
925,Nasi gurih,190,4.7,7.5,26,100
926,Nasi jagung,357,8.8,0.5,79.5,100
927,Nasi minyak,207,3.5,5,37.1,100
928,Nasi rames,155,10.3,4.2,19.1,100
929,Nasi tim,120,2.4,0.4,26,100
930,Nasi Uduk ,253.3,4.3,21,11.7,100
931,Nasu likku masakan,196,14.5,8.3,15.9,100
932,Noga Kacang Tanah ,600,14,41.7,42,100
933,Nopia spesial,387,5.3,7.6,74.3,100
934,Olah-olah,9,2.1,6,7.1,100
935,Oncom,187,13,6,22.6,100
936,Oncom ampas kacang hijau,376,14.9,6,65.7,100
937,Oncom Goreng ,363.3,19.3,19.3,40.3,100
938,Oncom Hitam Goreng ,284,12,14.4,13.6,100
939,Oncom Hitam Goreng bertepung ,306.7,9,18,27,100
940,Oncom kacang hijau + singkong,351,11,5.3,65.9,100
941,Oncom Kacang Tanah pepes,132,12.7,3.8,13.7,100
942,Oncom Kedele,187,13,6,22.6,100
943,Oncom Merah Goreng ,368,6.8,32,13.2,100
944,Oncom Merah Goreng bertepung ,320,7.3,18.7,31,100
945,Oncom Merah Sayur (tumis) ,40,2,2,3,100
946,Oncom pepes,76,5.2,1.8,10.6,100
947,Onde-onde ,288.6,8.3,8.9,44.3,100
948,Ongol-ongol ,115,1.5,6,14,100
949,Ongol-ongol sagu,111,0.3,2.7,21.2,100
950,Opak Singkong ,940,36,42,104,100
951,Oramu ninahu ndawa olaho masakan,117,13.7,5,4.3,100
952,Otak,125,10.4,8.6,0.8,100
953,Oyek,351,0.9,0.9,84.9,100
954,Oyek (dari singkong),342,2.3,0.1,83.1,100
955,Paku hinela wulelenggapaya,77,3.5,4.6,5.4,100
956,Pala biji,494,7.5,36.4,40.1,100
957,Pala daging,42,0.3,0.2,10.9,100
958,Paniki masak santan masakan,460,28.5,35.2,7.2,100
959,Papais ,133.8,3,1.6,27,100
960,Papeda,61,0.2,0.1,14.9,100
961,Parede baleh masakan,87,10.5,2.5,5.5,100
962,Paria (Pare),29,1.1,0.3,6.6,100
963,Paria Putih kukus,16,0.8,0.2,3.4,100
964,Paria putih segar,19,1,0.4,3.6,100
965,Pastel,307,4.5,13.3,42.4,100
966,Pati Singkong (tapioka),362,0.5,0.3,86.9,100
967,Pe-Cay,23,1.8,0.3,4.5,100
968,Peda Ikan Banjar,156,28,4,0,100
969,Pelecing kangkung,75,2.5,2.8,10,100
970,Pelepah manuk masakan,219,19.7,13.6,4.4,100
971,Pempek adaan,162,4.9,3,27.8,100
972,Pempek belida,156,4.2,1.4,31.6,100
973,Pempek kapal selam,152,4.5,2.3,28.2,100
974,Pempek kelesan,211,12.3,6.1,26.6,100
975,Pempek kulit,243,5.2,7.3,39.1,100
976,Pempek tenggiri,173,7.2,1.2,33.4,100
977,Pencok lele masakan,372,7.8,36.3,3.5,100
978,Penyu serapah masakan,174,13.1,12.2,2.2,100
979,Pepare ular segar,19,0.6,0.1,3.9,100
980,Pepaya lodeh,275,11.6,11.6,30.2,100
981,Pepaya Muda,26,2.1,0.1,4.9,100
982,Pepaya segar,46,0.5,12,12.2,100
983,Pepea oncom ampas tahu,76,5.2,1.8,10.6,100
984,Permen ,400,0,0,95,100
985,Pete Segar,142,10.4,2,22,100
986,Peterseli,50,3.7,1,9,100
987,Petis Ikan,161,20,0.2,24,100
988,Petis Udang,220,15,0.1,40,100
989,Petis udang kering,345,23.8,1.4,59.3,100
990,Petis udang pasta,220,15,0.9,38,100
991,Pilus ,514,1,27.8,647,100
992,Pinda masakan,107,15.9,0.6,0.4,100
993,Pindang Ikan Banjar,157,28,4.2,0,100
994,Pindang Ikan Benggol,170,31,4.2,0,100
995,Pindang Ikan Layang,153,30,2.8,0,100
996,Pindang Ikan Selar Kecil,142,27,3,0,100
997,Pindang kenari masakan,124,9.5,9.6,0,100
998,Pisang Ambon,99,1.2,0.2,25.8,100
999,Pisang angleng (pisang ampyang) segar,68,1.3,0.2,17.2,100
1000,Pisang ayam segar,120,1.1,0.2,26.8,100
1001,Pisang gapi segar ,127,2.1,0.3,31.1,100
1002,Pisang Goreng ,220,2.3,2.3,6.3,100
1003,Pisang goroho segar,115,1.9,0.2,27.9,100
1004,Pisang hijau segar,117,2,0.3,28.9,100
1005,Pisang kayu segar,100,1.4,0.5,23.6,100
1006,Pisang kepok segar,109,0.8,0.5,26.3,100
1007,Pisang ketip segar,145,1.1,0.3,34.5,100
1008,Pisang kidang segar,96,1,0.2,22.5,100
1009,Pisang Lampung,99,1.3,0.2,25.6,100
1010,Pisang Mas,127,1.4,0.2,33.6,100
1011,Pisang mas bali,127,1.4,0.2,31.8,100
1012,Pisang Oli,134,1.1,0.5,35.5,100
1013,Pisang Raja,120,1.2,0.2,31.8,100
1014,Pisang Raja Sere (Susu),118,1.2,0.2,31.1,100
1015,Pisang rotan segar,98,1.3,1.2,20.5,100
1016,Pisang Siam goreng,625,1,0,8.1,100
1017,Pisang talas segar,113,1.2,0.2,26.7,100
1018,Prey (bawang daun),45,2.2,0.3,10.3,100
1019,Pucuk lumai/daun leunca segar,33,4.5,0.4,2.8,100
1020,Pulut,216,2.6,3.1,44.4,100
1021,Punai daging goreng,224,26.2,11.3,4.4,100
1022,Pundut nasi,104,1.9,4.1,15.1,100
1023,Purundawa,25,1.5,0.5,3.6,100
1024,Purut segar,76,4.1,1.1,15.2,100
1025,Putri malu segar,76,3.6,0.3,14.6,100
1026,Putri selat,163,2.2,6.5,23.8,100
1027,Putu Mayang ,200,1,2.4,43.8,100
1028,Ragi,136,43,2.4,3,100
1029,Rajungan segar,76,12.1,2,2.4,100
1030,Rambutan,69,0.9,0.1,18.1,100
1031,Rambutan Aceh,11,0,0,2.7,100
1032,Rambutan binjai segar,76,0.5,0.2,18,100
1033,Rambutan sinyonya,4,0,0,0.9,100
1034,Rarawuan ,295,7.3,8.5,47.5,100
1035,Rasbi (Beras Ubi),394,2.2,8.8,76.6,100
1036,Rasi (Beras Singkong),350,0.9,0.4,85.7,100
1037,Rawon masakan,60,5.4,2.5,4,100
1038,Rebon (udang kecil segar),81,16.2,1.2,0.7,100
1039,Rebon kering,299,29.4,3.6,3.2,100
1040,Rebon udang kecil segar,81,16.2,1.2,0.7,100
1041,Rebung,27,0.6,0.3,5.2,100
1042,Rebung laut mentah,320,7.2,4.2,63.3,100
1043,Rempeyek kacang tolo,451,11.2,20.2,59.7,100
1044,Rempeyek kacang uci,497,17,27.6,50.8,100
1045,Rendang sapi masakan,193,22.6,7.9,7.8,100
1046,Renggi goreng,471,4.7,21.8,64.1,100
1047,Rimbang segar,75,1.6,0.6,15.8,100
1048,Risoles ,335,5.3,3.5,70.5,100
1049,Roti boong,341,5.5,16.2,43.3,100
1050,Roti Gambang ,350,7.5,2,75.5,100
1051,Roti Putih,248,8,1.2,50,100
1052,Roti warna sawo matang,249,7.9,1.5,49.7,100
1053,Rujak cingur,153,11.3,8.4,8,100
1054,Rumput laut,41,1.4,0.3,8.1,100
1055,Rusa daging dendeng mentah,536,40.5,41.5,0,100
1056,Rusip,110,11.5,2,11.7,100
1057,RW anjing masakan,198,24.6,10.7,0.9,100
1058,Saga biji tanpa kulit,449,30.6,25.5,31.9,100
1059,Sagu Ambon ,338,0.6,0.3,83.1,100
1060,Sagu aren kering,355,0.6,1.1,85.6,100
1061,Sagu aren segar,231,0.6,0.2,56.6,100
1062,Sagu forno,291,0.5,4,63.4,100
1063,Sagu kasbi segar,230,0.6,0.2,56.5,100
1064,Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,100
1065,Sagu lempeng,347,0.9,0.3,85.2,100
1066,Sagu Rendang,364,0.1,0.2,90.5,100
1067,Sagu singkong kering,362,0.5,0.3,86.9,100
1068,Sagu sinole,354,0.8,8.3,68.9,100
1069,Salak bali segar,57,0.5,0.1,13.6,100
1070,Salak medan segar,55,0.4,0.2,12.8,100
1071,Salak pondoh segar,87,0.8,0.4,20.1,100
1072,Sale pisang siam,281,2.4,0.7,66.1,100
1073,Santan (dengan air),122,2,10,7.6,100
1074,Santan (kelapa saja),324,4.2,34.3,55.6,100
1075,Santan murni,324,4.2,34.3,5.6,100
1076,Saos Tomat,98,2,0.4,24.5,100
1077,Sapi abon,212,18,10.6,59.3,100
1078,Sapi babat segar,108,17.6,4.2,0,100
1079,Sapi daging asap,182,32,6,0,100
1080,Sapi daging dendeng mentah,301,55,9,0,100
1081,Sapi daging gemuk segar,273,17.5,22,0,100
1082,Sapi daging kornet,289,16,25,0,100
